存量,Exist,exist
行政区,Administrative region,aregion
现象,Phenomenon,phenn
文件,document,docut
设施,facility,faciy
搜索,search,search
浊度,Turbidity,###turby
经度,longitude,longe
适生区,Apparent area,aarea
方程,equation,equan
平台,platform,platm
长度,length,length
影响,Influence,infle
重点,Focus on,###fon
短波,shortwave,shore
等压,Wait,wait
规律,law,law
遥感,remote sensing,rsens
冰情,Ice,###ice
辐射源,Radiation source,rsource
图,picture,###picture
评价,Evaluation,evaln
径流,run-off,run-off
湍流,Turbulence,turbe
幅度,Amplitude,ample
垂直,vertical,vertl
减缓,Slow down,sdown
量纲,dimension,dimen
系列,series,series
企业,enterprise,entee
探测器,detector,###deter
框架,frame,frame
东,East,east
冰雹,hail,hail
产业链,Industrial chain,ichain
高空,high altitude,halti
直径,diameter,diamr
储存量,Storage,###storage
海冰,Sea ice,sice
天然气,natural gas,ngas
交通,transportation,###trann
北半球,Northern Hemisphere,nhemi
密集度,Density,###density
归属,Belong to,bto
湿地,wetlands,wetls
半径,radius,radius
物资,Material,###matel
因素,factor,###factor
作物,crop,crop
总站,Head office,hoffice
隧道,tunnel,tunnel
譜,Spectrum,###specm
核心,core,core
分布,distributed,distd
路况,Road conditions,rcond
雷电,Lightning,###lighg
定时,timing,timing
灵敏,Sensitive,sense
生产力,productive forces,pforces
矛盾,contradiction,contn
积涝,Flood,###flood
预警,Warning,warning
瓶颈,bottleneck,bottk
硝化,Nitrification,nitrn
减排,Reducing emissions,remis
卫生,health,health
委员会,Committee,###comme
集,set,set
稳定性,stability,staby
专题,Special topic,stopic
气旋,cyclone,cyclone
模式,model,###model
实况,Active,active
学院,College,college
资质,Qualification,qualn
积分,integral,intel
雷暴,Thunderous,thuns
订阅,subscription,subsn
仪器,instrument,instt
生物,biology,biology
水电,Hydropower,hydrr
组,Group,###group
流场,Flow field,ffield
分子,molecular,moler
测序,Sequence,seque
串行,Serial,serial
生理,physiological,physl
涝灾,Flood,###flood
元素,element,###element
监测,monitor,###monitor
客运量,Passenger volume,pvolume
地球,Earth,earth
属性,Attributes,attrs
天线,antenna,antenna
措施,measure,measure
甲烷,Methane,methane
氨,ammonia,ammonia
预估,Predict,###predict
形势,situation,situn
土地,land,###land
公路,highway,highway
队伍,Team,team
中国,China,china
性能,performance,###perfe
大学,the University,tuniv
覆盖度,Coverage,###covee
气压,Air pressure,apres
生物量,Biomass,biomass
热稳定性,Thermal stability,tstab
氧化,Oxidation,oxidn
海浪,Waves,waves
农气,Agricultural,agril
水利,Water conservancy,wcons
原始,original,origl
图像,image,image
形式,form,form
组合,combination,combn
历史,history,history
能谱,Spectrum,###specm
天,sky,sky
二进制,Binary,binary
阵列,Array,array
